Element ID	Element Name	Description
4.A.4.a	Communicating and Interacting	What interactions with other people occur while performing this job?
4.A.4.a.1	Interpreting the Meaning of Information for Others	Translating or explaining what information means and how it can be used.
4.A.4.a.1.a	Explain technical details of products or services.	
4.A.4.a.1.a.1	Present work to clients for approval.	
4.A.4.a.1.a.2	Explain use of products or services.	
4.A.4.a.1.a.3	Discuss goods or services information with customers or patrons.	
4.A.4.a.1.a.4	Explain engineering drawings, specifications, or other technical information.	
4.A.4.a.1.a.5	Explain technical product or service information to customers.	
4.A.4.a.1.a.6	Provide information about landscaping services or costs.	
4.A.4.a.1.b	Explain regulations, policies, or procedures.	
4.A.4.a.1.b.1	Inform others about laws or regulations.	
4.A.4.a.1.b.2	Inform the public about policies, services or procedures.	
4.A.4.a.1.b.3	Communicate organizational policies and procedures.	
4.A.4.a.1.b.4	Explain regulations, policies, or procedures.	
4.A.4.a.1.b.5	Communicate organizational information to customers or other stakeholders.	
4.A.4.a.1.b.6	Communicate with clients about products, procedures, and policies.	
4.A.4.a.1.c	Interpret language, cultural, or religious information for others.	
4.A.4.a.1.c.1	Translate information for others.	
4.A.4.a.1.c.2	Interpret cultural or religious information for others.	
4.A.4.a.1.d	Explain financial information.	
4.A.4.a.1.d.1	Educate clients on financial planning topics.	
4.A.4.a.1.d.2	Interpret financial information for others.	
4.A.4.a.1.d.3	Explain financial information to customers.	
4.A.4.a.1.e	Explain medical information to patients or family members.	
4.A.4.a.1.e.1	Communicate detailed medical information to patients or family members.	
4.A.4.a.1.e.2	Confer with family members to discuss client treatment plans or progress.	
4.A.4.a.1.e.3	Confer with clients to discuss treatment plans or progress.	
4.A.4.a.1.e.4	Explain technical medical information to patients.	
4.A.4.a.1.e.5	Explain medical procedures or test results to patients or family members.	
4.A.4.a.2	Communicating with Supervisors, Peers, or Subordinates	Providing information to supervisors, co-workers, and subordinates by telephone, in written form, e-mail, or in person.
4.A.4.a.2.a	Communicate environmental or sustainability information.	
4.A.4.a.2.a.1	Communicate with the public on environmental issues.	
4.A.4.a.2.a.2	Communicate green energy production information.	
4.A.4.a.2.a.3	Communicate results of environmental research.	
4.A.4.a.2.b	Assist scientists, scholars, or technical specialists with projects or research.	
4.A.4.a.2.b.1	Collaborate on research activities with scientists or technical specialists.	
4.A.4.a.2.b.2	Assist other educational professionals with projects or research.	
4.A.4.a.2.b.3	Assist engineers or scientists with research.	
4.A.4.a.2.c	Communicate with others about operational plans or activities.	
4.A.4.a.2.c.1	Communicate with other workers to coordinate activities.	
4.A.4.a.2.c.2	Provide information to coworkers.	
4.A.4.a.2.c.3	Confer with coworkers to coordinate maintenance or cleaning activities.	
4.A.4.a.2.c.4	Meet with coworkers to communicate work orders or plans.	
4.A.4.a.2.c.5	Discuss problems or issues with supervisors.	
4.A.4.a.2.c.6	Communicate with others to coordinate vehicle movement.	
4.A.4.a.2.c.7	Discuss performance, complaints, or violations with supervisors.	
4.A.4.a.2.c.8	Communicate with other construction or extraction personnel to discuss project details.	
4.A.4.a.2.c.9	Liaise between departments or other groups to improve function or communication.	
4.A.4.a.2.c.10	Report information to managers or other personnel.	
4.A.4.a.2.c.11	Relay information between personnel.	
4.A.4.a.2.c.12	Communicate with coworkers to coordinate installations or repairs.	
4.A.4.a.2.c.13	Confer with managers to make operational decisions.	
4.A.4.a.2.c.14	Confer with organizational members to accomplish work activities.	
4.A.4.a.2.c.15	Confer with coworkers to coordinate work activities.	
4.A.4.a.2.c.16	Communicate with others to coordinate material handling or movement.	
4.A.4.a.2.c.17	Communicate dining or order details to kitchen personnel.	
4.A.4.a.2.c.18	Confer with others to conduct or arrange operational activities.	
4.A.4.a.2.c.19	Receive information or instructions for performing work assignments.	
4.A.4.a.2.c.20	Exchange information with colleagues.	
4.A.4.a.2.c.21	Communicate safety or hazard information to others.	
4.A.4.a.2.d	Confer with healthcare or other professionals about patient care.	
4.A.4.a.2.d.1	Inform medical professionals regarding patient conditions and care.	
4.A.4.a.2.d.2	Confer with other professionals to plan patient care.	
4.A.4.a.2.d.3	Collaborate with other professionals to assess client needs or plan treatments.	
4.A.4.a.2.d.4	Communicate test or assessment results to medical professionals.	
4.A.4.a.2.d.5	Collaborate with healthcare professionals to plan or provide treatment.	
4.A.4.a.2.d.6	Communicate patient status to other health practitioners.	
4.A.4.a.2.e	Communicate with others about business strategies.	
4.A.4.a.2.e.1	Collaborate with others in marketing activities.	
4.A.4.a.2.e.2	Collaborate with others to develop or implement marketing strategies.	
4.A.4.a.2.e.3	Confer with personnel to coordinate business operations.	
4.A.4.a.2.e.4	Share sales-related or market information with colleagues.	
4.A.4.a.2.e.5	Discuss business strategies, practices, or policies with managers.	
4.A.4.a.2.f	Collaborate in the development of educational programs.	
4.A.4.a.2.f.1	Collaborate with other professionals to develop education or assistance programs.	
4.A.4.a.2.f.2	Collaborate with other agencies and institutions to coordinate educational matters.	
4.A.4.a.2.f.3	Collaborate with other teaching professionals to develop educational programs.	
4.A.4.a.2.g	Notify others of emergencies or problems.	
4.A.4.a.2.g.1	Communicate situation details to appropriate personnel.	
4.A.4.a.2.g.2	Notify others of equipment repair or maintenance needs.	
4.A.4.a.2.g.3	Request emergency personnel.	
4.A.4.a.2.g.4	Notify others of equipment problems.	
4.A.4.a.2.g.5	Report vehicle or equipment malfunctions.	
4.A.4.a.2.g.6	Relay information about incidents or emergencies to personnel using phones or two-way radios.	
4.A.4.a.2.g.7	Notify others of emergencies, problems, or hazards.	
4.A.4.a.2.g.8	Report maintenance or equipment problems to appropriate personnel.	
4.A.4.a.2.g.9	Warn individuals about rule violations or safety concerns.	
4.A.4.a.2.h	Communicate with others about specifications or project details.	
4.A.4.a.2.h.1	Collaborate with others to determine production details.	
4.A.4.a.2.h.2	Discuss production content and progress with others.	
4.A.4.a.2.h.3	Confer with technical personnel to prepare designs or operational plans.	
4.A.4.a.2.h.4	Collaborate with others to develop or refine designs.	
4.A.4.a.2.h.5	Collaborate with others to determine technical details of productions.	
4.A.4.a.2.h.6	Discuss design or technical features of products or services with technical personnel.	
4.A.4.a.2.h.7	Collaborate with others to determine design specifications or details.	
4.A.4.a.2.h.8	Consult with others regarding safety or health equipment or facilities.	
4.A.4.a.2.h.9	Communicate project information to others.	
4.A.4.a.2.i	Discuss legal matters with clients, disputants, or legal professionals or staff.	
4.A.4.a.2.i.1	Meet with individuals involved in legal processes to provide information and clarify issues.	
4.A.4.a.2.i.2	Confer with court staff to clarify information.	
4.A.4.a.2.j	Confer with clients to determine needs or order specifications.	
4.A.4.a.2.j.1	Discuss service options or needs with clients.	
4.A.4.a.2.j.2	Confer with clients to exchange information.	
4.A.4.a.2.j.3	Confer with clients to determine needs.	
4.A.4.a.2.j.4	Confer with customers or users to assess problems.	
4.A.4.a.2.j.5	Confer with customers or designers to determine order specifications.	
4.A.4.a.2.j.6	Discuss designs or plans with clients.	
4.A.4.a.3	Communicating with People Outside the Organization	Communicating with people outside the organization, representing the organization to customers, the public, government, and other external sources. This information can be exchanged in person, in writing, or by telephone or e-mail.
4.A.4.a.3.a	Present information in legal proceedings.	
4.A.4.a.3.a.1	Testify at legal or legislative proceedings.	
4.A.4.a.3.a.2	Represent the interests of clients in legal proceedings.	
4.A.4.a.3.b	Provide information or assistance to the public.	
4.A.4.a.3.b.1	Communicate health and wellness information to the public.	
4.A.4.a.3.b.2	Present sustainable products or services information to the public.	
4.A.4.a.3.b.3	Present information to the public.	
4.A.4.a.3.b.4	Provide educational information to the public.	
4.A.4.a.3.b.5	Provide technical information or assistance to public.	
4.A.4.a.3.b.6	Explain project details to the general public.	
4.A.4.a.3.b.7	Report news to the public.	
4.A.4.a.3.b.8	Provide information to the general public.	
4.A.4.a.3.b.9	Present social services program information to the public.	
4.A.4.a.3.b.10	Inform viewers, listeners, or audiences.	
4.A.4.a.3.c	Provide information to guests, clients, or customers.	
4.A.4.a.3.c.1	Present food or beverage information or menus to customers.	
4.A.4.a.3.c.2	Present business-related information to audiences.	
4.A.4.a.3.c.3	Provide attraction or event information to patrons.	
4.A.4.a.3.c.4	Discuss account status or activity with customers or patrons.	
4.A.4.a.3.c.5	Provide customer service to clients or users.	
4.A.4.a.3.c.6	Inform individuals or organizations of status or findings.	
4.A.4.a.3.c.7	Provide notifications to customers or patrons.	
4.A.4.a.3.c.8	Provide customers with general information or assistance.	
4.A.4.a.3.c.9	Provide basic information to guests, visitors, or clients.	
4.A.4.a.3.c.10	Provide patrons with directions to locales or attractions.	
4.A.4.a.3.c.11	Answer telephones to direct calls or provide information.	
4.A.4.a.3.c.12	Provide transportation information to passengers or customers.	
4.A.4.a.4	Establishing and Maintaining Interpersonal Relationships	Developing constructive and cooperative working relationships with others, and maintaining them over time.
4.A.4.a.4.a	Develop professional relationships or networks.	
4.A.4.a.4.a.1	Develop collaborative relationships between departments or with external organizations.	
4.A.4.a.4.a.2	Develop business relationships.	
4.A.4.a.4.a.3	Develop working relationships with others to facilitate program activities.	
4.A.4.a.4.a.4	Establish interpersonal business relationships to facilitate work activities.	
4.A.4.a.4.a.5	Develop professional relationships or networks.	
4.A.4.a.5	Assisting and Caring for Others	Providing personal assistance, medical attention, emotional support, or other personal care to others such as coworkers, customers, or patients.
4.A.4.a.5.a	Assist others to access additional services or resources.	
4.A.4.a.5.a.1	Refer customers to appropriate personnel.	
4.A.4.a.5.a.2	Refer patients to other healthcare practitioners or health resources.	
4.A.4.a.5.a.3	Help clients get needed services or resources.	
4.A.4.a.5.a.4	Arrange physical or mental health services for clients.	
4.A.4.a.5.a.5	Refer individuals to educational or work programs.	
4.A.4.a.5.a.6	Refer clients to community or social service programs.	
4.A.4.a.5.b	Administer therapeutic treatments.	
4.A.4.a.5.b.1	Treat patients using psychological therapies.	
4.A.4.a.5.b.2	Implement therapeutic programs to improve patient functioning.	
4.A.4.a.5.b.3	Administer therapy treatments to patients using hands or physical treatment aids.	
4.A.4.a.5.b.4	Administer therapeutic massages.	
4.A.4.a.5.b.5	Treat patients using physical therapy techniques.	
4.A.4.a.5.c	Administer basic health care or medical treatments.	
4.A.4.a.5.c.1	Give medications or immunizations.	
4.A.4.a.5.c.2	Administer basic health care or medical treatments.	
4.A.4.a.5.c.3	Administer anesthetics or sedatives to control pain.	
4.A.4.a.5.c.4	Care for women during pregnancy and childbirth.	
4.A.4.a.5.c.5	Provide basic health care services.	
4.A.4.a.5.c.6	Administer non-intravenous medications.	
4.A.4.a.5.c.7	Immunize patients.	
4.A.4.a.5.c.8	Administer intravenous medications.	
4.A.4.a.5.c.9	Administer blood or other fluids intravenously.	
4.A.4.a.5.c.10	Administer medical substances for imaging or other procedures.	
4.A.4.a.5.c.11	Apply bandages, dressings, or splints.	
4.A.4.a.5.d	Care for plants or animals.	
4.A.4.a.5.d.1	Care for plants or animals.	
4.A.4.a.5.d.2	Care for animals.	
4.A.4.a.5.d.3	Perform animal breeding procedures.	
4.A.4.a.5.d.4	Provide care for animals.	
4.A.4.a.5.e	Intervene in crisis situations or emergencies.	
4.A.4.a.5.e.1	Rescue people from hazardous situations.	
4.A.4.a.5.e.2	Respond to emergencies to provide assistance.	
4.A.4.a.5.e.3	Respond to transportation emergencies.	
4.A.4.a.5.e.4	Assist others during emergencies.	
4.A.4.a.5.f	Fit assistive devices to patients or clients.	
4.A.4.a.5.f.1	Fit eyeglasses, contact lenses, or other vision aids.	
4.A.4.a.5.f.2	Fit patients for assistive devices.	
4.A.4.a.5.g	Administer emergency medical treatment.	
4.A.4.a.5.g.1	Provide first aid or rescue assistance in emergencies.	
4.A.4.a.5.g.2	Administer first aid.	
4.A.4.a.5.g.3	Treat medical emergencies.	
4.A.4.a.5.g.4	Implement advanced life support techniques.	
4.A.4.a.5.h	Assist individuals with paperwork.	
4.A.4.a.5.h.1	Assist individuals with paperwork.	
4.A.4.a.5.i	Assist individuals with special needs.	
4.A.4.a.5.i.1	Feed patients.	
4.A.4.a.5.i.2	Assist patients with hygiene or daily living activities.	
4.A.4.a.5.i.3	Assist clients in handling details of daily life.	
4.A.4.a.5.i.4	Develop daily schedules for children or families.	
4.A.4.a.5.i.5	Assist students with special educational needs.	
4.A.4.a.5.i.6	Assist disabled or incapacitated individuals.	
4.A.4.a.5.i.7	Assist individuals with special needs.	
4.A.4.a.5.i.8	Provide for basic needs of children.	
4.A.4.a.5.i.9	Assist patients with daily activities.	
4.A.4.a.5.j	Provide general assistance to others, such as customers, patrons, or motorists.	
4.A.4.a.5.j.1	Assist motorists or pedestrians.	
4.A.4.a.5.j.2	Greet customers, patrons, or visitors.	
4.A.4.a.5.j.3	Assist customers to ensure comfort or safety.	
4.A.4.a.5.j.4	Assist patrons with entering or exiting vehicles or other forms of transportation.	
4.A.4.a.5.j.5	Make travel, accommodations, or entertainment arrangements for others.	
4.A.4.a.5.j.6	Assist passengers during vehicle boarding.	
4.A.4.a.5.j.7	Help patrons use library or archival resources.	
4.A.4.a.5.j.8	Assist customers with seating arrangements.	
4.A.4.a.5.j.9	Arrange services or reservations for patrons.	
4.A.4.a.5.j.10	Assist customers with product selection.	
4.A.4.a.5.k	Assist healthcare practitioners during medical procedures.	
4.A.4.a.5.k.1	Assist practitioners to perform medical procedures.	
4.A.4.a.5.k.2	Hold patients to ensure proper positioning or safety.	
4.A.4.a.5.k.3	Adjust positions of patients on beds or tables.	
4.A.4.a.5.k.4	Position patients for treatment or examination.	
4.A.4.a.5.k.5	Assist healthcare practitioners during examinations or treatments.	
4.A.4.a.5.k.6	Assist healthcare practitioners during surgery.	
4.A.4.a.5.k.7	Prepare patients physically for medical procedures.	
4.A.4.a.5.k.8	Maintain sterile operative fields.	
4.A.4.a.5.l	Treat injuries, illnesses, or diseases.	
4.A.4.a.5.l.1	Care for patients with mental illnesses.	
4.A.4.a.5.l.2	Treat acute illnesses, infections, or injuries.	
4.A.4.a.5.l.3	Operate on patients to treat conditions.	
4.A.4.a.5.l.4	Treat dental problems or diseases.	
4.A.4.a.5.l.5	Treat animal injuries or illnesses.	
4.A.4.a.5.l.6	Administer cancer treatments.	
4.A.4.a.5.l.7	Treat chronic diseases or disorders.	
4.A.4.a.5.l.8	Treat patients using alternative medical procedures.	
4.A.4.a.6	Selling or Influencing Others	Convincing others to buy merchandise/goods or to otherwise change their minds or actions.
4.A.4.a.6.a	Advocate for individual or community needs.	
4.A.4.a.6.a.1	Advocate for individual or community needs.	
4.A.4.a.6.b	Sell products or services.	
4.A.4.a.6.b.1	Merchandise healthcare products or services.	
4.A.4.a.6.b.2	Sell agricultural products.	
4.A.4.a.6.b.3	Customize financial products or services to meet customer needs.	
4.A.4.a.6.b.4	Contract real estate to clients.	
4.A.4.a.6.b.5	Sell products or services.	
4.A.4.a.6.b.6	Customize energy products or services to meet customer needs.	
4.A.4.a.6.c	Promote products, services, or programs.	
4.A.4.a.6.c.1	Perform marketing activities.	
4.A.4.a.6.c.2	Demonstrate products to consumers.	
4.A.4.a.6.c.3	Promote environmental sustainability or conservation initiatives.	
4.A.4.a.6.c.4	Market products, services, or events.	
4.A.4.a.6.c.5	Contact current or potential customers to promote products or services.	
4.A.4.a.6.c.6	Promote educational institutions or programs.	
4.A.4.a.6.c.7	Deliver promotional presentations to current or prospective customers.	
4.A.4.a.6.c.8	Promote agricultural or hunting activities.	
4.A.4.a.6.c.9	Distribute promotional literature or samples to customers.	
4.A.4.a.6.c.10	Promote products, activities, or organizations.	
4.A.4.a.6.c.11	Model cosmetics, clothing, or accessories.	
4.A.4.a.6.c.12	Promote products, services, or programs.	
4.A.4.a.7	Resolving Conflicts and Negotiating with Others	Handling complaints, settling disputes, and resolving grievances and conflicts, or otherwise negotiating with others.
4.A.4.a.7.a	Mediate disputes.	
4.A.4.a.7.a.1	Resolve interpersonal conflicts.	
4.A.4.a.7.a.2	Arbitrate disputes between parties to resolve legal conflicts.	
4.A.4.a.7.a.3	Mediate disputes.	
4.A.4.a.7.b	Negotiate contracts or agreements.	
4.A.4.a.7.b.1	Negotiate sales or lease agreements for products or services.	
4.A.4.a.7.b.2	Arrange collective bargaining agreements.	
4.A.4.a.7.b.3	Negotiate labor disputes.	
4.A.4.a.7.b.4	Negotiate contracts for transportation, distribution, or logistics services.	
4.A.4.a.7.b.5	Negotiate purchases or contracts.	
4.A.4.a.7.b.6	Negotiate financial arrangements.	
4.A.4.a.7.b.7	Negotiate prices or other sales terms.	
4.A.4.a.7.b.8	Negotiate contracts for environmental remediation, green energy, or renewable resources.	
4.A.4.a.7.b.9	Negotiate agreements to resolve disputes.	
4.A.4.a.7.b.10	Negotiate contracts with clients or service providers.	
4.A.4.a.7.b.11	Negotiate project specifications.	
4.A.4.a.7.b.12	Negotiate for services.	
4.A.4.a.7.c	Resolve personnel or operational problems.	
4.A.4.a.7.c.1	Resolve employee or contractor problems.	
4.A.4.a.7.c.2	Resolve operational performance problems.	
4.A.4.a.7.c.3	Resolve personnel problems.	
4.A.4.a.7.c.4	Resolve issues affecting transportation operations.	
4.A.4.a.8	Performing for or Working Directly with the Public	Performing for people or dealing directly with the public. This includes serving customers in restaurants and stores, and receiving clients or guests.
4.A.4.a.8.a	Present arts or entertainment performances.	
4.A.4.a.8.a.1	Audition for roles.	
4.A.4.a.8.a.2	Perform for recordings.	
4.A.4.a.8.a.3	Perform music for the public.	
4.A.4.a.8.a.4	Collaborate with others to prepare or perform artistic productions.	
4.A.4.a.8.a.5	Entertain public with comedic or dramatic performances.	
4.A.4.a.8.a.6	Perform dances.	
4.A.4.a.8.b	Conduct amusement or gaming activities.	
4.A.4.a.8.b.1	Operate gaming equipment.	
4.A.4.a.8.b.2	Conduct amusement or gaming activities.	
4.A.4.a.8.c	Respond to customer problems or inquiries.	
4.A.4.a.8.c.1	Respond to customer problems or complaints.	
4.A.4.a.8.c.2	Respond to customer inquiries.	
4.A.4.a.8.c.3	Answer customer questions about goods or services.	
4.A.4.a.8.c.4	Communicate with customers to resolve complaints or ensure satisfaction.	
4.A.4.a.8.c.5	Resolve customer complaints or problems.	
4.A.4.a.8.c.6	Correspond with customers to answer questions or resolve complaints.	
4.A.4.b	Coordinating, Developing, Managing, and Advising	What coordinating, managerial, or advisory activities are done while performing this job?
4.A.4.b.1	Coordinating the Work and Activities of Others	Getting members of a group to work together to accomplish tasks.
4.A.4.b.1.a	Coordinate with others to resolve problems.	
4.A.4.b.1.a.1	Confer with others to resolve production problems or equipment malfunctions.	
4.A.4.b.1.a.2	Confer with other personnel to resolve design or operational problems.	
4.A.4.b.1.a.3	Collaborate with others to resolve information technology issues.	
4.A.4.b.1.a.4	Communicate with management or other staff to resolve problems.	
4.A.4.b.1.a.5	Collaborate with technical specialists to resolve design or development problems.	
4.A.4.b.1.a.6	Confer with coworkers to resolve equipment problems.	
4.A.4.b.1.b	Signal others to coordinate work activities.	
4.A.4.b.1.b.1	Signal others to coordinate vehicle movement.	
4.A.4.b.1.b.2	Signal others to coordinate work activities.	
4.A.4.b.1.b.3	Signal equipment operators to indicate proper equipment positioning.	
4.A.4.b.1.c	Coordinate activities with clients, agencies, or organizations.	
4.A.4.b.1.c.1	Communicate with government agencies.	
4.A.4.b.1.c.2	Communicate technical information to suppliers, contractors, or regulatory agencies.	
4.A.4.b.1.c.3	Collaborate with outside groups to develop programs or projects.	
4.A.4.b.1.c.4	Coordinate with external parties to exchange information.	
4.A.4.b.1.c.5	Collaborate with law enforcement or security agencies to share information.	
4.A.4.b.1.c.6	Coordinate operational activities with external stakeholders.	
4.A.4.b.1.c.7	Coordinate activities with suppliers, contractors, clients, or other departments.	
4.A.4.b.1.c.8	Confer with others about financial matters.	
4.A.4.b.1.c.9	Represent the organization in external relations.	
4.A.4.b.1.c.10	Collaborate with law enforcement or security agencies to respond to incidents.	
4.A.4.b.1.d	Coordinate artistic or entertainment activities.	
4.A.4.b.1.d.1	Manage content of broadcasts or presentations.	
4.A.4.b.1.d.2	Direct productions or performances.	
4.A.4.b.1.d.3	Coordinate musical rehearsals or performances.	
4.A.4.b.1.d.4	Coordinate athletic or sporting events or activities.	
4.A.4.b.1.d.5	Coordinate artistic activities.	
4.A.4.b.1.e	Coordinate group, community, or public activities.	
4.A.4.b.1.e.1	Organize recreational activities or events.	
4.A.4.b.1.e.2	Coordinate student extracurricular activities.	
4.A.4.b.1.e.3	Coordinate special events or programs.	
4.A.4.b.1.e.4	Host events.	
4.A.4.b.1.e.5	Organize special events.	
4.A.4.b.1.e.6	Manage outreach activities.	
4.A.4.b.1.f	Assign work to others.	
4.A.4.b.1.f.1	Plan employee work schedules.	
4.A.4.b.1.f.2	Prepare staff schedules or work assignments.	
4.A.4.b.1.f.3	Prepare activity or work schedules.	
4.A.4.b.1.f.4	Prepare employee work schedules.	
4.A.4.b.1.f.5	Assign class work to students.	
4.A.4.b.1.f.6	Assign duties or work schedules to employees.	
4.A.4.b.1.g	Coordinate regulatory compliance activities.	
4.A.4.b.1.g.1	Coordinate regulatory documentation activities.	
4.A.4.b.1.g.2	Coordinate safety or regulatory compliance activities.	
4.A.4.b.1.g.3	Manage documentation to ensure organization or accuracy.	
4.A.4.b.2	Developing and Building Teams	Encouraging and building mutual trust, respect, and cooperation among team members.
4.A.4.b.2.a	Provide support or encouragement to others.	
4.A.4.b.2.a.1	Encourage patients during therapeutic activities.	
4.A.4.b.2.a.2	Visit individuals in their homes to provide support or information.	
4.A.4.b.2.a.3	Encourage students.	
4.A.4.b.2.a.4	Interact with patients to build rapport or provide emotional support.	
4.A.4.b.2.a.5	Support the professional development of others.	
4.A.4.b.2.a.6	Encourage patients or clients to develop life skills.	
4.A.4.b.3	Training and Teaching Others	Identifying the educational needs of others, developing formal educational or training programs or classes, and teaching or instructing others.
4.A.4.b.3.a	Teach life skills.	
4.A.4.b.3.a.1	Teach basic living or other adaptive skills to patients or caregivers.	
4.A.4.b.3.a.2	Teach life skills or strategies to clients or their families.	
4.A.4.b.3.a.3	Teach daily living skills or behaviors.	
4.A.4.b.3.a.4	Teach life skills.	
4.A.4.b.3.b	Teach academic or vocational subjects.	
4.A.4.b.3.b.1	Teach vocational courses.	
4.A.4.b.3.b.2	Teach classes in area of specialization.	
4.A.4.b.3.b.3	Teach social science courses at the college level.	
4.A.4.b.3.b.4	Lead classes or community events.	
4.A.4.b.3.b.5	Guide class discussions.	
4.A.4.b.3.b.6	Apply multiple teaching methods.	
4.A.4.b.3.b.7	Teach online courses.	
4.A.4.b.3.b.8	Instruct college students in social sciences or humanities disciplines.	
4.A.4.b.3.b.9	Instruct college students in physical or life sciences.	
4.A.4.b.3.b.10	Tutor students who need extra assistance.	
4.A.4.b.3.b.11	Teach humanities courses at the college level.	
4.A.4.b.3.b.12	Teach physical science or mathematics courses at the college level.	
4.A.4.b.3.b.13	Read to students.	
4.A.4.b.3.c	Teach safety procedures or standards to others.	
4.A.4.b.3.c.1	Educate the public about fire safety or prevention.	
4.A.4.b.3.c.2	Teach safety standards or environmental compliance methods.	
4.A.4.b.3.c.3	Provide safety training.	
4.A.4.b.3.d	Train others on operational or work procedures.	
4.A.4.b.3.d.1	Train personnel to enhance job skills.	
4.A.4.b.3.d.2	Train personnel on proper operational procedures.	
4.A.4.b.3.d.3	Train others in operational procedures.	
4.A.4.b.3.d.4	Train personnel.	
4.A.4.b.3.d.5	Train sales personnel.	
4.A.4.b.3.d.6	Instruct staff in work policies or procedures.	
4.A.4.b.3.d.7	Train others on performance techniques.	
4.A.4.b.3.d.8	Train staff members.	
4.A.4.b.3.d.9	Train workers in farming, forestry, or hunting techniques.	
4.A.4.b.3.d.10	Train food preparation or food service personnel.	
4.A.4.b.3.d.11	Train employees on environmental awareness, conservation, or safety topics.	
4.A.4.b.3.d.12	Train personnel in organizational or compliance procedures.	
4.A.4.b.3.d.13	Train construction or extraction personnel.	
4.A.4.b.3.d.14	Train employees in proper work procedures.	
4.A.4.b.3.d.15	Train personnel in technical or scientific procedures.	
4.A.4.b.3.d.16	Conduct employee training programs.	
4.A.4.b.3.d.17	Train personnel on managerial topics.	
4.A.4.b.3.d.18	Train others on work processes.	
4.A.4.b.3.d.19	Train transportation or material moving personnel.	
4.A.4.b.3.d.20	Train service staff.	
4.A.4.b.3.d.21	Train staff members in social services skills.	
4.A.4.b.3.e	Train others to use equipment or products.	
4.A.4.b.3.e.1	Instruct workers to use equipment or perform technical procedures.	
4.A.4.b.3.e.2	Instruct patients in the use of assistive equipment.	
4.A.4.b.3.e.3	Teach others to use computer equipment or hardware.	
4.A.4.b.3.e.4	Train others in computer interface or software use.	
4.A.4.b.3.e.5	Teach others to use technology or equipment.	
4.A.4.b.3.e.6	Demonstrate activity techniques or equipment use.	
4.A.4.b.3.e.7	Train customers in the use of products.	
4.A.4.b.3.f	Train others on health or medical topics.	
4.A.4.b.3.f.1	Teach exercise or fitness techniques.	
4.A.4.b.3.f.2	Engage patients in exercises or activities.	
4.A.4.b.3.f.3	Teach physical education.	
4.A.4.b.3.f.4	Teach medical procedures or medical equipment use to patients.	
4.A.4.b.3.f.5	Train patients, family members, or caregivers in techniques for managing disabilities or illnesses.	
4.A.4.b.3.f.6	Conduct health or safety training programs.	
4.A.4.b.3.f.7	Teach health or hygiene practices.	
4.A.4.b.3.f.8	Train medical providers.	
4.A.4.b.3.f.9	Teach health management classes.	
4.A.4.b.3.f.10	Teach medical procedures to healthcare personnel.	
4.A.4.b.3.f.11	Train caregivers or other non-medical personnel.	
4.A.4.b.4	Guiding, Directing, and Motivating Subordinates	Providing guidance and direction to subordinates, including setting performance standards and monitoring performance.
4.A.4.b.4.a	Supervise personnel activities.	
4.A.4.b.4.a.1	Supervise maintenance workers.	
4.A.4.b.4.a.2	Supervise engineering or other technical personnel.	
4.A.4.b.4.a.3	Supervise trainees.	
4.A.4.b.4.a.4	Supervise service workers.	
4.A.4.b.4.a.5	Supervise production or support personnel.	
4.A.4.b.4.a.6	Direct activities of subordinates.	
4.A.4.b.4.a.7	Supervise information technology personnel.	
4.A.4.b.4.a.8	Supervise clerical or administrative personnel.	
4.A.4.b.4.a.9	Supervise activities of other legal personnel.	
4.A.4.b.4.a.10	Supervise scientific or technical personnel.	
4.A.4.b.4.a.11	Supervise medical support personnel.	
4.A.4.b.4.a.12	Supervise workers providing client or patient services.	
4.A.4.b.4.a.13	Supervise employees.	
4.A.4.b.4.a.14	Supervise patient care personnel.	
4.A.4.b.4.a.15	Supervise technical medical personnel.	
4.A.4.b.4.a.16	Supervise sales or support personnel.	
4.A.4.b.4.a.17	Supervise laboratory work.	
4.A.4.b.4.a.18	Supervise student research or internship work.	
4.A.4.b.4.a.19	Supervise workers performing environmentally sustainable activities.	
4.A.4.b.4.b	Serve on organizational committees.	
4.A.4.b.4.b.1	Serve on institutional or departmental committees.	
4.A.4.b.4.c	Manage agricultural or forestry operations.	
4.A.4.b.4.c.1	Coordinate forestry or agricultural activities.	
4.A.4.b.4.c.2	Manage agricultural or forestry operations.	
4.A.4.b.4.c.3	Direct activities of agricultural, forestry, or fishery employees.	
4.A.4.b.4.d	Supervise activities in correctional facilities.	
4.A.4.b.4.d.1	Supervise inmate activities.	
4.A.4.b.4.d.2	Count prison inmates or personnel.	
4.A.4.b.4.e	Direct scientific or technical activities.	
4.A.4.b.4.e.1	Direct surveying activities.	
4.A.4.b.4.e.2	Direct technical activities or operations.	
4.A.4.b.4.e.3	Coordinate design activities.	
4.A.4.b.4.e.4	Coordinate software or hardware installation.	
4.A.4.b.4.e.5	Direct scientific activities.	
4.A.4.b.4.e.6	Direct natural resources management or conservation programs.	
4.A.4.b.4.e.7	Manage information technology projects or system activities.	
4.A.4.b.4.e.8	Manage scientific or technical project resources.	
4.A.4.b.4.e.9	Direct medical science or healthcare programs.	
4.A.4.b.4.e.10	Direct design or development activities.	
4.A.4.b.4.e.11	Coordinate cross-disciplinary research programs.	
4.A.4.b.4.f	Manage human resources activities.	
