O*NET-SOC Code	Task	Category	Original Task ID	Original Task	Date	Domain Source
43-5041.00	Install new or replace broken meters.	New	n/a	n/a	07/2016	Incumbent
43-5051.00	Stock lobby with retail merchandise.	New	n/a	n/a	07/2016	Incumbent
43-6011.00	Keep track of employees' time.	New	n/a	n/a	07/2017	Incumbent
43-9081.00	Check the facts of stories using the internet.	New	n/a	n/a	07/2016	Incumbent
43-9081.00	Design page layouts using text, photographs, graphics, and other elements.	New	n/a	n/a	07/2016	Incumbent
43-9111.00	Present results of statistical analyses to stakeholders.	New	n/a	n/a	07/2015	Incumbent
43-9111.00	Write code for statistical applications.	New	n/a	n/a	07/2015	Incumbent
45-2091.00	Operate drones to monitor crop health, growth and pest infestations, and apply targeted treatments.	New	n/a	n/a	05/2025	AI/SME
45-3031.00	Operate and maintain drone technology for aerial surveillance of hunting and fishing areas.	New	n/a	n/a	05/2025	AI/SME
45-4011.00	Create field maps using geographic information systems technology.	New	n/a	n/a	08/2023	Incumbent
45-4022.00	Operate remote-controlled logging machines and drones for dangerous or hard-to-reach tasks.	New	n/a	n/a	05/2025	AI/SME
45-4023.00	Move logs using heavy equipment such as log loaders.	New	n/a	n/a	07/2017	Incumbent
47-2021.00	Use drone technology to inspect and assess the condition of tall structures.	New	n/a	n/a	05/2025	AI/SME
47-2031.00	Use drones for site surveying and to inspect hard-to-reach areas of a structure.	New	n/a	n/a	05/2025	AI/SME
47-2041.00	Cut and install vinyl composition tile or vinyl base.	New	n/a	n/a	07/2011	Incumbent
47-2141.00	Clean tools and equipment, such as brushes and rollers.	New	n/a	n/a	07/2014	Incumbent
47-2141.00	Hang wallpaper.	New	n/a	n/a	07/2014	Incumbent
47-2171.00	Unload rebar from trucks.	New	n/a	n/a	07/2015	Incumbent
47-2171.00	Use forklifts or cranes to move construction material, such as rebar.	New	n/a	n/a	07/2015	Incumbent
47-2221.00	Assemble or inspect hoisting equipment or rigging, such as cables, pulleys, or hooks, to move heavy equipment or materials.	Revision	11554	Assemble hoisting equipment or rigging, such as cables, pulleys, or hooks, to move heavy equipment or materials.	07/2015	Incumbent
47-2221.00	Lift steel beams, girders, or columns using cranes or forklifts, or by signaling hoisting equipment operators to lift or position structural steel members.	Revision	20795	Hoist steel beams, girders, or columns into place, using cranes or signaling hoisting equipment operators to lift and position structural steel members.	07/2015	Incumbent
47-3012.00	Cut or weld metal.	New	n/a	n/a	07/2013	Incumbent
47-4011.00	Inspect structures to determine cause and origin of damage.	New	n/a	n/a	08/2024	Occupational Expert
47-4011.01	Evaluate the energy performance of buildings using modeling software.	New	n/a	n/a	08/2022	Occupational Expert
47-4071.00	Pump, clean, and repair septic tanks, sewer lines, or related structures such as manholes, culverts, and catch basins.	Revision	11610	Clean and repair septic tanks, sewer lines, or related structures such as manholes, culverts, and catch basins.	07/2017	Incumbent
47-5013.00	Maintain and perform safety inspections on rigs, equipment, and other tools.	Revision	20451	Maintain and perform safety inspections on equipment and tools.	07/2013	Incumbent
47-5032.00	Operate drones for aerial survey of blast sites and for post-blast damage assessment.	New	n/a	n/a	05/2025	AI/SME
47-5043.00	Check roof or ribs for hazardous conditions.	New	n/a	n/a	07/2017	Incumbent
47-5043.00	Clean equipment, such as dust collectors.	New	n/a	n/a	07/2017	Incumbent
49-2021.00	Use drone technology to inspect towers and antennas for damage or maintenance needs.	New	n/a	n/a	05/2025	AI/SME
49-2091.00	Perform installation, testing, adjustment, and repair of avionics equipment in uncrewed aerial vehicles, such as drones.	New	n/a	n/a	05/2025	AI/SME
49-2095.00	Calibrate instruments, such as transmitters.	New	n/a	n/a	07/2017	Incumbent
49-2095.00	Use drones for inspection of high-voltage lines and other hard-to-reach equipment.	New	n/a	n/a	05/2025	AI/SME
49-3051.00	Explain repair procedures to customers.	New	n/a	n/a	07/2015	Incumbent
49-3051.00	Repair or replace engine mechanical equipment, such as power tilts, water pumps, bilge pumps, or power take-offs.	Revision	13770	Repair engine mechanical equipment, such as power tilts, bilge pumps, or power take-offs.	07/2015	Incumbent
49-3052.00	Diagnose electrical problems.	New	n/a	n/a	08/2021	Incumbent
49-3091.00	Estimate costs of repairing bicycles and write service tickets.	New	n/a	n/a	07/2016	Incumbent
49-3091.00	Make adjustments to bicycles to improve customer fit and riding position.	New	n/a	n/a	07/2016	Incumbent
49-3092.00	Inspect and install lights, such as headlights and taillights.	New	n/a	n/a	08/2025	Incumbent
49-9043.00	Troubleshoot electrical, hydraulic, or mechanical equipment and machines.	New	n/a	n/a	08/2024	Incumbent
49-9044.00	Inventory and store parts, tools, and equipment.	New	n/a	n/a	08/2024	Occupational Expert
49-9045.00	Reline furnaces using ramming material.	New	n/a	n/a	06/2007	Incumbent
49-9052.00	Set up service for customers, installing, connecting, testing, or adjusting equipment, such as digital subscriber line modems.	Revision	11850	Set up service for customers, installing, connecting, testing, or adjusting equipment.	07/2015	Incumbent
49-9061.00	Adjust or repair cameras, photographic mechanisms, or equipment such as range and view finders, shutters, light meters, or lens systems, using hand tools.	Revision	8437	Adjust cameras, photographic mechanisms, or equipment such as range and view finders, shutters, light meters, or lens systems, using hand tools.	07/2015	Incumbent
49-9061.00	Repair and calibrate drone cameras and equipment for aerial photography and videography.	New	n/a	n/a	05/2025	AI/SME
49-9063.00	Adjust the neck angle on fretted instruments.	New	n/a	n/a	08/2025	Occupational Expert
49-9071.00	Use drones for inspecting roofs, gutters, and other hard-to-reach areas of buildings.	New	n/a	n/a	05/2025	AI/SME
49-9094.00	Read blueprints and project specification manuals to recommend appropriate hardware and electronic locking devices.	New	n/a	n/a	08/2025	Occupational Expert
51-2041.00	Troubleshoot and repair electrical or mechanical equipment.	New	n/a	n/a	08/2024	Incumbent
51-3021.00	Clean and sanitize meat cases and cutting equipment.	New	n/a	n/a	07/2016	Incumbent
51-3022.00	Clean meat cutting equipment.	New	n/a	n/a	07/2017	Incumbent
51-4111.00	Troubleshoot malfunctions in manufacturing equipment.	New	n/a	n/a	08/2021	Incumbent
51-5111.00	Correct color in photographs or digital images.	New	n/a	n/a	07/2016	Incumbent
51-6051.00	Patch materials, such as cotton or leather.	New	n/a	n/a	08/2024	Incumbent
51-8031.00	Complete wastewater discharge monitoring reports and maintenance logs.	New	n/a	n/a	08/2025	Occupational Expert
51-8031.00	Maintain and repair portable safety equipment and permanent safety infrastructure to ensure operational readiness and compliance with safety protocols.	New	n/a	n/a	08/2025	Occupational Expert
51-9011.00	Load products into tanks for shipment.	New	n/a	n/a	07/2015	Incumbent
51-9071.00	Measure, cut, and file pieces of jewelry, such as rings, brooches, bracelets, and lockets.	Revision	23625	Cut and file pieces of jewelry such as rings, brooches, bracelets, and lockets.	08/2025	Incumbent
51-9081.00	Meet with dentists or patients to discuss dental appliances.	New	n/a	n/a	08/2022	Incumbent
51-9081.00	Order parts or materials needed to make dental appliances.	New	n/a	n/a	08/2022	Incumbent
51-9081.00	Scan dental models to create digital files.	New	n/a	n/a	08/2022	Incumbent
51-9081.00	Stain porcelain on dental appliances to match the color of patients' teeth.	New	n/a	n/a	08/2022	Incumbent
51-9082.00	Order parts or supplies for orthotic or prosthetic devices.	New	n/a	n/a	07/2015	Incumbent
51-9083.00	Tint lenses according to customer specifications.	New	n/a	n/a	07/2015	Incumbent
51-9151.00	Adjust digital images using software.	New	n/a	n/a	07/2017	Incumbent
51-9195.05	Apply glazes to pottery pieces, using tools such as spray guns.	Revision	21211	Mix and apply glazes to pottery pieces, using tools, such as spray guns.	08/2020	Incumbent
51-9195.05	Decorate pottery using tools such as brushes.	New	n/a	n/a	08/2020	Incumbent
51-9195.05	Load and unload pottery from kilns.	New	n/a	n/a	08/2020	Incumbent
51-9195.05	Mix chemicals according to recipes to create glazes.	Revision	21211	Mix and apply glazes to pottery pieces, using tools, such as spray guns.	08/2020	Incumbent
53-2012.00	Operate large scale uncrewed aerial vehicles (UAVs) or drones for various commercial purposes, such as aerial photography, surveying land and structures, or monitoring wildlife.	New	n/a	n/a	05/2025	AI/SME
53-2021.00	Monitor, direct, or sequence the movement of aircraft within an assigned air space or on the ground at airports to minimize delays and maximize safety.	Revision	12729	Monitor or direct the movement of aircraft within an assigned air space or on the ground at airports to minimize delays and maximize safety.	07/2014	Incumbent
53-2022.00	Inspect airfield conditions to ensure safety and compliance with federal regulatory requirements.	Revision	23939	Inspect airfield conditions to ensure compliance with federal regulatory requirements.	08/2021	Incumbent
53-2022.00	Issue notices to advise flight crews of airfield status.	New	n/a	n/a	08/2021	Incumbent
53-2022.00	Monitor and manage the operation of drones within the airport airspace to ensure safe aircraft operations.	New	n/a	n/a	05/2025	AI/SME
53-2022.00	Train operations staff on topics such as driving on airfields and security identification display area (SIDA) procedures.	Revision	10618	Train operations staff.	08/2021	Incumbent
53-5021.00	Oversee the use of drones for inspection and maintenance of hard-to-reach parts of the vessel.	New	n/a	n/a	05/2025	AI/SME
53-5031.00	Use drone technology for ship inspections, maintenance, or other tasks.	New	n/a	n/a	05/2025	AI/SME
53-6051.01	Inspect uncrewed aircraft systems, such as drones, to ensure compliance with safety and operation regulations.	New	n/a	n/a	05/2025	AI/SME
53-7021.00	Inspect crane site conditions to determine ground stability.	New	n/a	n/a	07/2015	Incumbent
53-7031.00	Perform maintenance on dredge equipment, such as changing engine oil.	New	n/a	n/a	06/2008	Incumbent
53-7062.00	Inspect products for damage or leaks.	New	n/a	n/a	08/2024	Incumbent
53-7073.00	Conduct regular inspections of equipment using drones or other advanced technology.	New	n/a	n/a	05/2025	AI/SME
