O*NET-SOC Code	Workplace Example	Element ID	Element Name	Hot Technology	In Demand
13-1031.00	Automatic Data Processing Claims Manager & Dispatch	2.E.5.b	Document management software	N	N
13-1031.00	Automatic Data Processing Estimating	2.E.2.d	Financial analysis software	N	N
13-1031.00	Axonwave Fraud and Abuse Management System	2.E.1.i	Expert system software	N	N
13-1031.00	BCCORP Burkitt W5	2.E.5.b	Document management software	N	N
13-1031.00	BCCORP W5 for Adjusters	2.E.5.b	Document management software	N	N
13-1031.00	Bill review software	2.E.2.f	Billing and invoicing software	N	N
13-1031.00	Bramerhill ClaimsTech	2.E.5.b	Document management software	N	N
13-1031.00	Bridium Claims 3	2.E.5.b	Document management software	N	N
13-1031.00	Brightwork Alyce Claims Systems	2.E.5.b	Document management software	N	N
13-1031.00	Business software applications	2.E.1.k	Office suite software	N	N
13-1031.00	CAD Zone Insurance	2.E.9.c	Computer aided design CAD software	N	N
13-1031.00	Captiva InputAccel	2.E.5.b	Document management software	N	N
13-1031.00	Castek Insure3 Claims	2.E.5.b	Document management software	N	N
13-1031.00	CCC EZNet electronic communications network	2.E.12.a	Access software	N	N
13-1031.00	CCC GuidePost Decision Support	2.E.1.i	Expert system software	N	N
13-1031.00	CCC Pathways Appraisal Quality Solution	2.E.2.b	Enterprise resource planning ERP software	N	N
13-1031.00	CCC Pathways Image Management Solution	2.E.5.b	Document management software	N	N
13-1031.00	CCC TL2000 Solution	2.E.5.b	Document management software	N	N
13-1031.00	CGI INSideOUT	2.E.5.b	Document management software	N	N
13-1031.00	CGI-AMS BureauLink Enterprise	2.E.6.h	Information retrieval or search software	N	N
13-1031.00	Claims processing administration and management software	2.E.6.f	Data base user interface and query software	N	N
13-1031.00	Clear Technology Tranzax	2.E.5.b	Document management software	N	N
13-1031.00	Computerized voice stress analyzer CVSA software	2.E.10.c	Interactive voice response software	N	N
13-1031.00	Corporate Systems ClaimsPro	2.E.6.e	Data base reporting software	N	N
13-1031.00	Covansys ClaimConnect	2.E.5.b	Document management software	N	N
13-1031.00	CSC Automated Work Distributor AWD	2.E.12.a	Access software	N	N
13-1031.00	CSC Colossus	2.E.2.d	Financial analysis software	N	N
13-1031.00	CSC Fault Evaluator	2.E.1.i	Expert system software	N	N
13-1031.00	Datanex ClaimTrac	2.E.5.b	Document management software	N	N
13-1031.00	Document management system software	2.E.5.b	Document management software	N	N
13-1031.00	Fair Isaac Claims Advisor	2.E.6.f	Data base user interface and query software	N	N
13-1031.00	Fair Isaac SmartAdvisor	2.E.1.i	Expert system software	N	N
13-1031.00	First Notice Systems ClaimCapture	2.E.1.i	Expert system software	N	N
13-1031.00	Healthcare common procedure coding system HCPCS	2.E.9.i	Medical software	N	N
13-1031.00	Hummingbird Legal Bill Review	2.E.1.i	Expert system software	N	N
13-1031.00	Hyland OnBase Enterprise Content Management	2.E.5.b	Document management software	N	N
13-1031.00	IBM Fraud and Abuse Management System	2.E.1.i	Expert system software	N	N
13-1031.00	Injury Sciences EDR InSight	2.E.9.d	Analytical or scientific software	N	N
13-1031.00	Insurance claims fraud detection software	2.E.9.d	Analytical or scientific software	N	N
13-1031.00	InSystems Calligo Document Management System	2.E.5.b	Document management software	N	N
13-1031.00	ISO ClaimSearch	2.E.1.i	Expert system software	N	N
13-1031.00	ISO NetMap for Claims	2.E.1.i	Expert system software	N	N
13-1031.00	LexisNexis RiskWise	2.E.1.i	Expert system software	N	N
13-1031.00	Magnify Predictive Targeting System	2.E.9.d	Analytical or scientific software	N	N
13-1031.00	MapScenes Evidence Recorder	2.E.9.c	Computer aided design CAD software	N	N
13-1031.00	MapScenes Pro	2.E.9.c	Computer aided design CAD software	N	N
13-1031.00	Medical condition coding software	2.E.9.i	Medical software	N	N
13-1031.00	Medical procedure coding software	2.E.9.i	Medical software	N	N
13-1031.00	Microsoft Access	2.E.6.f	Data base user interface and query software	Y	N
13-1031.00	Microsoft Excel	2.E.4.i	Spreadsheet software	Y	Y
13-1031.00	Microsoft Office software	2.E.1.k	Office suite software	Y	Y
13-1031.00	Microsoft Outlook	2.E.16.a	Electronic mail software	Y	Y
13-1031.00	Microsoft PowerPoint	2.E.4.f	Presentation software	Y	N
13-1031.00	Microsoft Publisher	2.E.4.k	Desktop publishing software	N	N
13-1031.00	Microsoft Word	2.E.4.d	Word processing software	Y	N
13-1031.00	Mozilla Firefox	2.E.10.e	Internet browser software	Y	N
13-1031.00	PhotoModeler	2.E.9.c	Computer aided design CAD software	N	N
13-1031.00	Property damage, bodily injury, and liability estimation software	2.E.2.d	Financial analysis software	N	N
13-1031.00	QwikQuote software	2.E.2.d	Financial analysis software	N	N
13-1031.00	Simsol for Adjusters	2.E.2.d	Financial analysis software	N	N
13-1031.00	StrataCare StrataWare eReview	2.E.1.i	Expert system software	N	N
13-1031.00	Tropics Claims Reserve Management	2.E.6.f	Data base user interface and query software	N	N
13-1031.00	Turtle Creek Software Goldenseal Architect	2.E.2.d	Financial analysis software	N	N
13-1031.00	Visual Statement Investigator Suite	2.E.9.c	Computer aided design CAD software	N	N
13-1031.00	Xactware Xactimate	2.E.6.f	Data base user interface and query software	N	Y
13-1031.00	Zoom	2.E.16.b	Video conferencing software	Y	N
13-1032.00	A-T Solutions Easy Street Draw	2.E.4.b	Graphics or photo imaging software	N	N
13-1032.00	Adobe Acrobat	2.E.5.b	Document management software	Y	N
13-1032.00	App Software Associations AppTrak.net	2.E.1.e	Project management software	N	N
13-1032.00	Cost estimating software	2.E.1.e	Project management software	N	N
13-1032.00	Disassembler software	2.E.7.i	Compiler and decompiler software	N	Y
13-1032.00	Email software	2.E.16.a	Electronic mail software	N	N
13-1032.00	Information Services Inc. CCC Pathways Appraisal Solution	2.E.6.f	Data base user interface and query software	N	N
13-1032.00	Meridian Technologies SurePoint	2.E.6.f	Data base user interface and query software	N	N
13-1032.00	Microsoft Excel	2.E.4.i	Spreadsheet software	Y	N
13-1032.00	Microsoft Office software	2.E.1.k	Office suite software	Y	Y
13-1032.00	Microsoft Outlook	2.E.16.a	Electronic mail software	Y	N
13-1032.00	Microsoft PowerPoint	2.E.4.f	Presentation software	Y	N
13-1032.00	Microsoft Windows	2.E.13.c	Operating system software	Y	N
13-1032.00	Microsoft Word	2.E.4.d	Word processing software	Y	N
13-1032.00	Mitchell International Mitchell WorkCenter	2.E.1.e	Project management software	N	N
13-1032.00	NCH Software Express Invoice	2.E.2.f	Billing and invoicing software	N	N
13-1032.00	Solera Audatex Estimating	2.E.1.e	Project management software	N	N
13-1032.00	Swan River Software Estimiser Pro	2.E.1.e	Project management software	N	N
13-1032.00	Vertafore ImageRight	2.E.6.f	Data base user interface and query software	N	N
13-1032.00	Web browser software	2.E.10.e	Internet browser software	N	N
13-1032.00	Web-Est estimating software	2.E.1.e	Project management software	N	N
13-1041.00	Commercial driver's license information system CDLIS	2.E.6.f	Data base user interface and query software	N	N
13-1041.00	Computer-assisted testing software	2.E.6.f	Data base user interface and query software	N	N
13-1041.00	Database software	2.E.6.f	Data base user interface and query software	N	N
13-1041.00	Digital imaging system software	2.E.4.b	Graphics or photo imaging software	N	N
13-1041.00	Document scanning software	2.E.4.j	Optical character reader OCR or scanning software	N	N
13-1041.00	Driving simulators	2.E.8.b	Computer based training software	N	N
13-1041.00	Microsoft Access	2.E.6.f	Data base user interface and query software	Y	N
13-1041.00	Microsoft Excel	2.E.4.i	Spreadsheet software	Y	Y
13-1041.00	Microsoft Office software	2.E.1.k	Office suite software	Y	Y
13-1041.00	Microsoft Outlook	2.E.16.a	Electronic mail software	Y	Y
13-1041.00	Microsoft PowerPoint	2.E.4.f	Presentation software	Y	Y
13-1041.00	Microsoft Windows	2.E.13.c	Operating system software	Y	N
13-1041.00	Microsoft Word	2.E.4.d	Word processing software	Y	Y
13-1041.00	National Driver Register NDR	2.E.6.f	Data base user interface and query software	N	N
13-1041.00	Safety Status Measurement System SafeStat	2.E.6.f	Data base user interface and query software	N	N
13-1041.00	Traffic record databases	2.E.6.f	Data base user interface and query software	N	N
13-1041.01	Adobe Acrobat	2.E.5.b	Document management software	Y	N
13-1041.01	Autodesk AutoCAD	2.E.9.c	Computer aided design CAD software	Y	N
13-1041.01	Database software	2.E.6.f	Data base user interface and query software	N	N
13-1041.01	DQO-PRO	2.E.9.d	Analytical or scientific software	N	N
13-1041.01	Environmental Knowledge and Assessment Tool EKAT	2.E.9.d	Analytical or scientific software	N	N
13-1041.01	Field Operations and Records Management System (FORMS) II Lite	2.E.9.d	Analytical or scientific software	N	N
13-1041.01	Fully Integrated Environmental Location Decision Support FIELDS	2.E.9.d	Analytical or scientific software	N	N
13-1041.01	Geographic information system GIS software	2.E.8.h	Geographic information system	N	N
13-1041.01	Geographic information system GIS systems	2.E.8.h	Geographic information system	N	N
13-1041.01	HRS Quickscore	2.E.9.d	Analytical or scientific software	N	N
13-1041.01	Mass Flux Toolkit	2.E.9.d	Analytical or scientific software	N	N
13-1041.01	Microsoft Access	2.E.6.f	Data base user interface and query software	Y	N
13-1041.01	Microsoft Excel	2.E.4.i	Spreadsheet software	Y	Y
13-1041.01	Microsoft Office software	2.E.1.k	Office suite software	Y	Y
13-1041.01	Microsoft Outlook	2.E.16.a	Electronic mail software	Y	N
13-1041.01	Microsoft PowerPoint	2.E.4.f	Presentation software	Y	Y
13-1041.01	Microsoft Project	2.E.1.e	Project management software	Y	N
13-1041.01	Microsoft SharePoint	2.E.5.b	Document management software	Y	N
13-1041.01	Microsoft Word	2.E.4.d	Word processing software	Y	N
13-1041.01	Monitoring and Remediation Optimization System MAROS	2.E.9.d	Analytical or scientific software	N	N
13-1041.01	Rapid Assessment Tools R.A.T.	2.E.9.d	Analytical or scientific software	N	N
13-1041.01	Salesforce software	2.E.6.c	Customer relationship management CRM software	Y	N
13-1041.01	SAP software	2.E.2.b	Enterprise resource planning ERP software	Y	N
13-1041.01	Spatial Analysis and Decision Assistance SADA	2.E.9.d	Analytical or scientific software	N	N
13-1041.01	Sustainable Management Approaches and Revitalization Tools SMARTe	2.E.9.d	Analytical or scientific software	N	N
13-1041.01	Tibco Scribe Software	2.E.9.d	Analytical or scientific software	N	N
13-1041.01	UNIX	2.E.13.c	Operating system software	Y	N
13-1041.03	Bashen EEOFedSoft	2.E.9.e	Compliance software	N	N
13-1041.03	Bashen EEOSoft	2.E.9.e	Compliance software	N	N
13-1041.03	Bashen LinkLine	2.E.1.c	Human resources software	N	N
13-1041.03	Berkshire Associates BALANCEaap	2.E.1.c	Human resources software	N	N
13-1041.03	Biddle Adverse Impact Toolkit	2.E.1.c	Human resources software	N	N
13-1041.03	Biddle AutoAAP	2.E.1.c	Human resources software	N	N
13-1041.03	Corel WordPerfect Office Suite	2.E.1.k	Office suite software	N	N
13-1041.03	Database software	2.E.6.f	Data base user interface and query software	N	N
13-1041.03	EEO Made Simple AAPMaker	2.E.1.c	Human resources software	N	N
13-1041.03	EEO Made Simple AppTrac	2.E.1.c	Human resources software	N	N
13-1041.03	Equal employment opportunity EEO compliance software	2.E.9.e	Compliance software	N	N
13-1041.03	Equitas EEOStat	2.E.9.d	Analytical or scientific software	N	N
13-1041.03	Gerstco AAPBase	2.E.1.c	Human resources software	N	N
13-1041.03	IBM Lotus 1-2-3	2.E.4.i	Spreadsheet software	N	N
13-1041.03	Microsoft Access	2.E.6.f	Data base user interface and query software	Y	N
13-1041.03	Microsoft Excel	2.E.4.i	Spreadsheet software	Y	Y
13-1041.03	Microsoft Office software	2.E.1.k	Office suite software	Y	Y
13-1041.03	Microsoft Outlook	2.E.16.a	Electronic mail software	Y	N
13-1041.03	Microsoft PowerPoint	2.E.4.f	Presentation software	Y	N
13-1041.03	Microsoft SharePoint	2.E.5.b	Document management software	Y	N
13-1041.03	Microsoft Word	2.E.4.d	Word processing software	Y	N
13-1041.03	Peopleclick AAPlanner	2.E.1.c	Human resources software	N	N
13-1041.03	Peopleclick CAAMS	2.E.1.c	Human resources software	N	N
13-1041.03	Peopleclick Monitor	2.E.1.c	Human resources software	N	N
13-1041.03	Peopleclick PayStat	2.E.9.d	Analytical or scientific software	N	N
13-1041.03	Speediware SpeedEEO	2.E.1.c	Human resources software	N	N
13-1041.03	Yocum & McKee The Complete AAP	2.E.1.c	Human resources software	N	N
13-1041.04	Adobe Acrobat	2.E.5.b	Document management software	Y	N
13-1041.04	Adobe Creative Cloud software	2.E.4.b	Graphics or photo imaging software	Y	N
13-1041.04	Adobe Illustrator	2.E.4.b	Graphics or photo imaging software	Y	N
13-1041.04	Adobe InDesign	2.E.4.k	Desktop publishing software	Y	N
13-1041.04	Adobe Photoshop	2.E.4.b	Graphics or photo imaging software	Y	N
13-1041.04	Apple iOS	2.E.13.c	Operating system software	Y	Y
13-1041.04	Autodesk AutoCAD	2.E.9.c	Computer aided design CAD software	Y	N
13-1041.04	Autodesk AutoCAD Civil 3D	2.E.9.c	Computer aided design CAD software	Y	N
13-1041.04	Bentley MicroStation	2.E.9.c	Computer aided design CAD software	Y	N
13-1041.04	BrioQuery	2.E.6.f	Data base user interface and query software	N	N
13-1041.04	Coeus	2.E.1.e	Project management software	N	N
13-1041.04	Database software	2.E.6.f	Data base user interface and query software	N	N
13-1041.04	Deltek Costpoint	2.E.2.a	Accounting software	N	N
13-1041.04	Email software	2.E.16.a	Electronic mail software	N	N
13-1041.04	Esri ArcGIS	2.E.8.h	Geographic information system	N	N
13-1041.04	Google Workspace software	2.E.1.k	Office suite software	Y	Y
13-1041.04	Inventory control system software	2.E.1.f	Inventory management software	N	N
13-1041.04	Microsoft Access	2.E.6.f	Data base user interface and query software	Y	N
13-1041.04	Microsoft Excel	2.E.4.i	Spreadsheet software	Y	Y
13-1041.04	Microsoft NetMeeting	2.E.16.b	Video conferencing software	N	N
13-1041.04	Microsoft Office software	2.E.1.k	Office suite software	Y	N
13-1041.04	Microsoft Outlook	2.E.16.a	Electronic mail software	Y	Y
13-1041.04	Microsoft PowerPoint	2.E.4.f	Presentation software	Y	N
13-1041.04	Microsoft Windows	2.E.13.c	Operating system software	Y	N
13-1041.04	Microsoft Word	2.E.4.d	Word processing software	Y	Y
13-1041.04	Peninsula Software Quicktrack Pro	2.E.1.f	Inventory management software	N	N
13-1041.04	Plant Clearance Automated Reutilization Screening System PCARSS	2.E.1.f	Inventory management software	N	N
13-1041.04	Radio frequency identification RFID software	2.E.1.f	Inventory management software	N	N
13-1041.04	Records management software	2.E.5.b	Document management software	N	N
13-1041.04	SAP software	2.E.2.b	Enterprise resource planning ERP software	Y	N
13-1041.04	Shipping software	2.E.1.d	Materials requirements planning logistics and supply chain software	N	N
13-1041.04	Unique Identification UID system databases	2.E.6.f	Data base user interface and query software	N	N
13-1041.04	Wide Area Workflow WAWF system	2.E.1.d	Materials requirements planning logistics and supply chain software	N	N
13-1041.06	3D graphics software	2.E.4.b	Graphics or photo imaging software	N	N
13-1041.06	Alcestis	2.E.6.f	Data base user interface and query software	N	N
13-1041.06	Autopsy information databases	2.E.6.f	Data base user interface and query software	N	N
13-1041.06	Bite analysis software	2.E.9.d	Analytical or scientific software	N	N
13-1041.06	Corel WordPerfect Office Suite	2.E.1.k	Office suite software	N	N
13-1041.06	Douglas Associates Forensic Filer	2.E.6.f	Data base user interface and query software	N	N
13-1041.06	Email software	2.E.16.a	Electronic mail software	N	N
13-1041.06	EMC Documentum	2.E.5.b	Document management software	N	N
13-1041.06	Fingerprint databases	2.E.6.f	Data base user interface and query software	N	N
13-1041.06	Genetic database software	2.E.6.f	Data base user interface and query software	N	N
13-1041.06	Git	2.E.5.c	File versioning software	Y	N
13-1041.06	Google Android	2.E.13.c	Operating system software	Y	N
13-1041.06	Graphics software	2.E.4.b	Graphics or photo imaging software	N	N
13-1041.06	Ingenuware CoronerBase	2.E.6.f	Data base user interface and query software	N	N
13-1041.06	Linux	2.E.13.c	Operating system software	Y	N
13-1041.06	Microsoft Excel	2.E.4.i	Spreadsheet software	Y	N
13-1041.06	Microsoft Office software	2.E.1.k	Office suite software	Y	Y
13-1041.06	Microsoft PowerPoint	2.E.4.f	Presentation software	Y	N
13-1041.06	Microsoft SQL Server Reporting Services SSRS	2.E.6.e	Data base reporting software	Y	N
13-1041.06	Microsoft Word	2.E.4.d	Word processing software	Y	N
13-1041.06	Mideo Systems EZDoc Plus	2.E.4.b	Graphics or photo imaging software	N	N
13-1041.06	Rapid Medical Examiners System	2.E.6.f	Data base user interface and query software	N	N
13-1041.06	Structured query language SQL	2.E.6.f	Data base user interface and query software	Y	N
13-1041.06	Toxicology databases	2.E.6.f	Data base user interface and query software	N	N
13-1041.06	Transact-SQL	2.E.6.f	Data base user interface and query software	Y	N
13-1041.06	UNIX	2.E.13.c	Operating system software	Y	N
13-1041.06	Web browser software	2.E.10.e	Internet browser software	N	N
13-1041.06	Zoom	2.E.16.b	Video conferencing software	Y	N
13-1041.07	Adobe Acrobat	2.E.5.b	Document management software	Y	N
13-1041.07	Analyse-it	2.E.9.d	Analytical or scientific software	N	N
13-1041.07	Atrion Intelligent Authoring	2.E.5.b	Document management software	N	N
13-1041.07	DataVision	2.E.6.e	Data base reporting software	N	N
13-1041.07	FileMaker Pro	2.E.6.f	Data base user interface and query software	N	N
13-1041.07	Fund accounting software	2.E.2.a	Accounting software	N	N
13-1041.07	Healthcare common procedure coding system HCPCS	2.E.9.i	Medical software	N	N
13-1041.07	Human resource management software HRMS	2.E.1.c	Human resources software	N	N
13-1041.07	Integrated development environment IDE software	2.E.7.b	Development environment software	N	N
13-1041.07	LexisNexis	2.E.6.h	Information retrieval or search software	N	N
13-1041.07	McAfee	2.E.14.d	Transaction security and virus protection software	N	N
13-1041.07	Medical procedure coding software	2.E.9.i	Medical software	N	N
13-1041.07	Microsoft Access	2.E.6.f	Data base user interface and query software	Y	N
13-1041.07	Microsoft Dynamics	2.E.2.b	Enterprise resource planning ERP software	N	N
13-1041.07	Microsoft Excel	2.E.4.i	Spreadsheet software	Y	Y
13-1041.07	Microsoft Office software	2.E.1.k	Office suite software	Y	Y
13-1041.07	Microsoft Outlook	2.E.16.a	Electronic mail software	Y	Y
13-1041.07	Microsoft PowerPoint	2.E.4.f	Presentation software	Y	Y
13-1041.07	Microsoft Project	2.E.1.e	Project management software	Y	N
13-1041.07	Microsoft SharePoint	2.E.5.b	Document management software	Y	N
13-1041.07	Microsoft SQL Server	2.E.6.f	Data base user interface and query software	Y	N
13-1041.07	Microsoft Visio	2.E.1.p	Process mapping and design software	Y	N
13-1041.07	Microsoft Visual Basic	2.E.7.b	Development environment software	Y	N
13-1041.07	Microsoft Word	2.E.4.d	Word processing software	Y	Y
13-1041.07	MicroStrategy	2.E.6.m	Business intelligence and data analysis software	N	N
13-1041.07	NortonLifeLock cybersecurity software	2.E.14.d	Transaction security and virus protection software	N	N
13-1041.07	Qlik Tech QlikView	2.E.6.m	Business intelligence and data analysis software	N	N
13-1041.07	Relational database management software	2.E.6.d	Data base management system software	N	N
13-1041.07	SAP software	2.E.2.b	Enterprise resource planning ERP software	Y	N
13-1041.07	Statistical software	2.E.9.d	Analytical or scientific software	N	N
13-1041.07	Structured query language SQL	2.E.6.f	Data base user interface and query software	Y	N
13-1041.07	Tax software	2.E.2.a	Accounting software	N	N
13-1041.07	Web browser software	2.E.10.e	Internet browser software	N	N
13-1041.07	Yardi software	2.E.6.f	Data base user interface and query software	Y	N
13-1041.08	Automated commercial environment software ACE	2.E.6.f	Data base user interface and query software	N	N
13-1041.08	Automated system for customs data ASYCUDA	2.E.9.e	Compliance software	N	N
13-1041.08	Customs records databases	2.E.6.f	Data base user interface and query software	N	N
13-1041.08	Electronic data interchange EDI software	2.E.16.a	Electronic mail software	N	N
13-1041.08	Materials requirement planning MRP software	2.E.1.d	Materials requirements planning logistics and supply chain software	N	N
13-1041.08	Microsoft Access	2.E.6.f	Data base user interface and query software	Y	N
13-1041.08	Microsoft Excel	2.E.4.i	Spreadsheet software	Y	Y
13-1041.08	Microsoft Office software	2.E.1.k	Office suite software	Y	Y
13-1041.08	Microsoft Outlook	2.E.16.a	Electronic mail software	Y	Y
13-1041.08	Microsoft PowerPoint	2.E.4.f	Presentation software	Y	Y
13-1041.08	Microsoft Word	2.E.4.d	Word processing software	Y	Y
13-1041.08	Optical character reader OCR software	2.E.4.j	Optical character reader OCR or scanning software	N	N
13-1041.08	Parts classification databases	2.E.6.f	Data base user interface and query software	N	N
13-1041.08	SAP Customs Management	2.E.1.e	Project management software	N	N
13-1041.08	SAP software	2.E.2.b	Enterprise resource planning ERP software	Y	N
13-1041.08	Tariff databases	2.E.6.f	Data base user interface and query software	N	N
13-1041.08	Web browser software	2.E.10.e	Internet browser software	N	N
13-1051.00	Adobe Acrobat	2.E.5.b	Document management software	Y	N
13-1051.00	Apple AppleWorks	2.E.4.i	Spreadsheet software	N	N
13-1051.00	Assured Software JPP	2.E.6.f	Data base user interface and query software	N	N
13-1051.00	Autodesk AutoCAD	2.E.9.c	Computer aided design CAD software	Y	N
13-1051.00	Autodesk Revit	2.E.9.c	Computer aided design CAD software	Y	N
13-1051.00	Choice Job Cost	2.E.2.a	Accounting software	N	N
13-1051.00	Computer aided design and drafting CADD software	2.E.9.c	Computer aided design CAD software	N	N
13-1051.00	ConEst BidTrac	2.E.1.e	Project management software	N	N
13-1051.00	ConEst Electrical Formulas	2.E.9.d	Analytical or scientific software	N	N
13-1051.00	ConEst Intellibid	2.E.2.d	Financial analysis software	N	N
13-1051.00	ConEst IntelliBid Design Build	2.E.9.c	Computer aided design CAD software	N	N
13-1051.00	ConEst JobTrac	2.E.1.e	Project management software	N	N
13-1051.00	ConEst Permit Trac	2.E.1.j	License management software	N	N
13-1051.00	ConEst SureCount	2.E.9.c	Computer aided design CAD software	N	N
13-1051.00	ConEst T&M Billing Manager	2.E.2.f	Billing and invoicing software	N	N
13-1051.00	ConstructConnect PlanSwift	2.E.1.e	Project management software	N	Y
13-1051.00	Construction Management Software ProEst	2.E.9.d	Analytical or scientific software	N	N
13-1051.00	Corel QuattroPro	2.E.4.i	Spreadsheet software	N	N
13-1051.00	Cost accounting software	2.E.2.a	Accounting software	N	N
13-1051.00	Cost estimating software	2.E.2.d	Financial analysis software	N	N
13-1051.00	CPR International GeneralCOST Estimator	2.E.2.a	Accounting software	N	N
13-1051.00	CPR Visual Estimator	2.E.2.d	Financial analysis software	N	N
13-1051.00	Dassault Systemes CATIA	2.E.9.c	Computer aided design CAD software	N	N
13-1051.00	Decisioneering Crystal Ball	2.E.9.d	Analytical or scientific software	N	N
13-1051.00	EFI Hagen OA	2.E.1.i	Expert system software	N	N
13-1051.00	Galorath SEER	2.E.1.e	Project management software	N	N
13-1051.00	Galorath SEER-SEM	2.E.1.e	Project management software	N	N
13-1051.00	HCSS HeavyBid	2.E.1.e	Project management software	N	N
13-1051.00	HCSS HeavyJob	2.E.1.e	Project management software	N	N
13-1051.00	IBM Costimater	2.E.2.d	Financial analysis software	N	N
13-1051.00	IBM Lotus 1-2-3	2.E.4.i	Spreadsheet software	N	N
13-1051.00	Intuit QuickBooks	2.E.2.a	Accounting software	Y	N
13-1051.00	Laserfiche Avante	2.E.5.b	Document management software	N	N
13-1051.00	Logic Software Easy Projects.NET	2.E.1.e	Project management software	N	N
13-1051.00	Microsoft Access	2.E.6.f	Data base user interface and query software	Y	N
13-1051.00	Microsoft Business Contact Manager	2.E.6.c	Customer relationship management CRM software	N	N
13-1051.00	Microsoft Dynamics	2.E.2.b	Enterprise resource planning ERP software	N	N
13-1051.00	Microsoft Excel	2.E.4.i	Spreadsheet software	Y	Y
13-1051.00	Microsoft Office software	2.E.1.k	Office suite software	Y	Y
13-1051.00	Microsoft OneNote	2.E.4.d	Word processing software	N	N
13-1051.00	Microsoft Outlook	2.E.16.a	Electronic mail software	Y	Y
13-1051.00	Microsoft PowerPoint	2.E.4.f	Presentation software	Y	N
13-1051.00	Microsoft Project	2.E.1.e	Project management software	Y	N
13-1051.00	Microsoft Visio	2.E.1.p	Process mapping and design software	Y	N
13-1051.00	Microsoft Word	2.E.4.d	Word processing software	Y	N
13-1051.00	On Center On-Screen Takeoff	2.E.1.e	Project management software	N	Y
13-1051.00	Oracle Hyperion	2.E.6.e	Data base reporting software	N	N
13-1051.00	Oracle JD Edwards EnterpriseOne	2.E.2.b	Enterprise resource planning ERP software	N	N
13-1051.00	Oracle Primavera Enterprise Project Portfolio Management	2.E.1.e	Project management software	Y	N
13-1051.00	Palisade @Risk	2.E.2.d	Financial analysis software	N	N
13-1051.00	PRICE Sytems TruePlanning	2.E.2.d	Financial analysis software	N	N
13-1051.00	Primavera Cost Management	2.E.2.d	Financial analysis software	N	N
13-1051.00	Procore software	2.E.9.d	Analytical or scientific software	Y	N
13-1051.00	QSM SLIM Suite	2.E.9.d	Analytical or scientific software	N	N
13-1051.00	Resources Calculations Incorporated SoftCost	2.E.9.d	Analytical or scientific software	N	N
13-1051.00	Sage 100 Contractor	2.E.6.f	Data base user interface and query software	N	N
13-1051.00	Sage 300 Construction and Real Estate	2.E.6.f	Data base user interface and query software	N	N
13-1051.00	Sage 50 Accounting	2.E.2.a	Accounting software	N	N
13-1051.00	SAP BusinessObjects Crystal Reports	2.E.6.e	Data base reporting software	N	N
13-1051.00	SAP software	2.E.2.b	Enterprise resource planning ERP software	Y	N
13-1051.00	Softstar Costar COCOMO II	2.E.2.d	Financial analysis software	N	N
13-1051.00	Software AG enterprise software	2.E.6.e	Data base reporting software	N	N
13-1051.00	Trimble SketchUp Pro	2.E.4.b	Graphics or photo imaging software	Y	N
13-1051.00	WinEstimator WinEst	2.E.9.d	Analytical or scientific software	N	N
13-1051.00	Xactware Xactimate	2.E.6.f	Data base user interface and query software	N	N
13-1071.00	Adobe Acrobat	2.E.5.b	Document management software	Y	N
13-1071.00	Adobe Creative Cloud software	2.E.4.b	Graphics or photo imaging software	Y	N
13-1071.00	Adobe Dreamweaver	2.E.4.g	Web page creation and editing software	N	N
13-1071.00	Adobe Human Capital Application Solution Accelerator	2.E.1.c	Human resources software	N	N
13-1071.00	Adobe Illustrator	2.E.4.b	Graphics or photo imaging software	Y	N
13-1071.00	Adobe InDesign	2.E.4.k	Desktop publishing software	Y	N
13-1071.00	Adobe LifeCycle Enterprise Suite	2.E.5.b	Document management software	N	N
13-1071.00	Adobe Photoshop	2.E.4.b	Graphics or photo imaging software	Y	N
13-1071.00	ADP Workforce Now	2.E.1.c	Human resources software	N	N
13-1071.00	Advanced business application programming ABAP	2.E.7.e	Object or component oriented development software	N	N
13-1071.00	Airtable	2.E.6.f	Data base user interface and query software	N	N
13-1071.00	Apple Final Cut Pro	2.E.4.c	Video creation and editing software	N	N
13-1071.00	Apple macOS	2.E.13.c	Operating system software	Y	N
13-1071.00	Applicant tracking software	2.E.1.c	Human resources software	N	Y
13-1071.00	ApplicantPro iApplicants	2.E.1.c	Human resources software	N	N
13-1071.00	Arbita OnePost	2.E.1.c	Human resources software	N	N
13-1071.00	Arbita OneWorld	2.E.1.c	Human resources software	N	N
13-1071.00	Assessment software	2.E.9.d	Analytical or scientific software	N	N
13-1071.00	AST Staff Matrix	2.E.1.c	Human resources software	N	N
13-1071.00	Background checking software	2.E.1.c	Human resources software	N	N
13-1071.00	Blackbaud The Raiser's Edge	2.E.6.c	Customer relationship management CRM software	N	N
13-1071.00	Blackboard software	2.E.6.f	Data base user interface and query software	N	N
13-1071.00	Blackdog	2.E.1.c	Human resources software	N	N
13-1071.00	BlackDog Recruiting	2.E.1.c	Human resources software	N	N
13-1071.00	Bond International Adapt Staffing	2.E.1.c	Human resources software	N	N
13-1071.00	Bond International Software Bond StaffSuite	2.E.1.c	Human resources software	N	N
13-1071.00	BrightMove Applicant Tracking System	2.E.1.c	Human resources software	N	N
13-1071.00	Bullhorn Applicant Tracking System	2.E.1.c	Human resources software	N	N
